Model,Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.8055358410220014,0.6572327044025157,0.5588235294117647,0.6040462427745664
Balanced Logistic Regression,0.7381121362668559,0.504302925989673,0.7834224598930482,0.6136125654450262
Decision Tree,0.7984386089425124,0.6347305389221557,0.5668449197860963,0.5988700564971752
Random Forest,0.8062455642299503,0.6797153024911032,0.5106951871657754,0.583206106870229
Balanced Random Forest,0.7558552164655784,0.5265017667844523,0.7967914438502673,0.6340425531914894
XGBoost,0.7984386089425124,0.6541095890410958,0.5106951871657754,0.5735735735735735
